doi,year,authors,title,journal,citations,relevance,crop,metric_used,selection_method,contribution,url
10.3390/biology10100982,2021,"Sharma S, Schulthess AW, Bassi FM, Badaeva ED, Neumann K, Graner A, Özkan H, Werner P, Knüpffer H, Kilian B.",Introducing Beneficial Alleles from Plant Genetic Resources into the Wheat Germplasm.,,41,3,wheat,genetic diversity in plant genetic resources (PGRs) and wild relatives; introgression potential,stage-gate introgression schemes for transferring qualitative and quantitative alleles from PGR into elite germplasm; pr,Explicit introgression strategy to recover diversity while improving elite pool; diversity-constrained breeding framework.,https://doi.org/10.3390/biology10100982
10.1002/tpg2.20080,2021,Crain Jared; DeHaan Lee; Poland Jesse,Genomic prediction enables rapid selection of high‐performing genets in an intermediate wheatgrass breeding program,The Plant Genome,38,3,intermediate wheatgrass,"genomic relationship matrix, genetic diversity representation",genomic selection with diversity constraint in validation-population sampling,1000–1200 validation genets selected by genomic kinship to represent genetic diversity; GS cycles accelerated while diversity maintained.,https://doi.org/10.1002/tpg2.20080
10.3389/fpls.2021.685488,2021,"Beyene Y, Gowda M, Pérez-Rodríguez P, Olsen M, Robbins KR, Burgueño J, Prasanna BM, Crossa J.",Application of Genomic Selection at the Early Stage of Breeding Pipeline in Tropical Maize.,,38,3,maize,multi-year empirical prediction accuracy across water-stress and well-watered,genomic selection at early DH pipeline stage; cross-validation of prediction schemes for maintained genetic gain,Demonstrates GS strategy to balance phenotyping efficiency with genetic gain maintenance in tropical breeding.,https://doi.org/10.3389/fpls.2021.685488
10.1093/genetics/iyab030,2021,Lopez-Cruz Marco; de los Campos Gustavo,Optimal breeding-value prediction using a sparse selection index,Genetics,35,3,none,"allele frequency, linkage disequilibrium, prediction accuracy",sparse selection index (SSI) for training-set optimization per individual,Theory/method for heterogeneous populations: optimizes prediction accuracy by custom training subsets.,https://doi.org/10.1093/genetics/iyab030
10.1534/genetics.119.302643,2020,"Bijma P, Wientjes YCJ, Calus MPL.",Breeding Top Genotypes and Accelerating Response to Recurrent Selection by Selecting Parents with Greater Gametic Variance.,,35,3,multi-crop,gametic variance (SD of GEBV of gametes),optimal contribution via gametic variance index,Quantifies parent gametic variability; selection index balances top-genotype probability and response.,https://doi.org/10.1534/genetics.119.302643
10.2135/cropsci2018.11.0716,2019,Neyhart Jeffrey L.; Smith Kevin P.,Validating Genomewide Predictions of Genetic Variance in a Contemporary Breeding Program,Crop Science,34,3,barley,"genetic variance (VG), superior progeny mean",genome-wide marker prediction of progeny variance for cross selection,Predicts VG and mean among 330k cross combinations; validates cross-selection to optimize diversity and gain outcomes.,https://doi.org/10.2135/cropsci2018.11.0716
10.1073/pnas.2205780119,2023,"Sanchez D, Sadoun SB, Mary-Huard T, Allier A, Moreau L, Charcosset A.",Improving the use of plant genetic resources to sustain breeding programs' efficiency.,,34,3,multi-crop,genetic diversity (marker-based management),bridging populations; genomic prediction with diversity management; genetic resource introgression,Simulates diversity management strategies and genetic resource integration for long-term gain.,https://doi.org/10.1073/pnas.2205780119
10.1111/pbi.13746,2022,"Casale F, Van Inghelandt D, Weisweiler M, Li J, Stich B.",Genomic prediction of the recombination rate variation in barley - A route to highly recombinogenic genotypes.,,33,3,barley,recombination rate variation (general and specific recombination effects),genomic selection for recombination-rate phenotype,Explicitly optimizes recombination as selection criterion to combine favourable alleles; genomic prediction approach.,https://doi.org/10.1111/pbi.13746
10.1093/insilicoplants/diad002,2023,Fradgley Nick; Gardner Keith A; Bentley Alison R; Howell Phil; Mackay Ian J; Scott Michael F,Multi-trait ensemble genomic prediction and simulations of recurrent selection highlight importance of complex trait genetic architecture for long-term genetic gains in wheat,in silico Plants,31,3,wheat,genetic diversity (implicit in multi-parent population analysis),"multi-trait genomic prediction, recurrent genomic selection simulation with diversity constraint",16-founder MAGIC population; long-term gain vs diversity trade-offs simulated; optimized antagonistic trait responses.,https://doi.org/10.1093/insilicoplants/diad002
10.3390/agronomy10081198,2020,Oyetunde Oyeboade Adebiyi; Badu-Apraku Baffour; Ariyo Omolayo Johnson; Alake Christopher Olusanya,Efficiencies of Heterotic Grouping Methods for Classifying Early Maturing Maize Inbred Lines,Agronomy,26,3,maize,"GCA, SCA, HGCAMT, HSGCA, SNP-based genetic distance",heterotic group classification; method comparison,Compares four heterotic grouping methods including SNP-based distance; directly addresses (A) and (B).,https://doi.org/10.3390/agronomy10081198
10.1002/tpg2.20467,2024,Villiers Kira; Voss‐Fels Kai P.; Dinglasan Eric; Jacobs Bertus; Hickey Lee; Hayes Ben J.,Evolutionary computing to assemble standing genetic diversity and achieve long‐term genetic gain,The Plant Genome,26,3,wheat,"retained genetic diversity (haplotype segments), long-term genetic gain","optimal haplotype stacking (OHS), optimal population value (OPV), OCS, truncation selection",100-generation simulation comparing OHS/OPV/OCS; OHS retains diversity and exceeds long-term gain.,https://doi.org/10.1002/tpg2.20467
10.1038/s41598-021-84732-6,2021,"Shu G, Cao G, Li N, Wang A, Wei F, Li T, Yi L, Xu Y, Wang Y.",Genetic variation and population structure in China summer maize germplasm.,,25,3,maize,"expected heterozygosity, SNPs (525,141), linkage disequilibrium, tagSNPs (4849), haplotype blocks",heterotic group assignment via ADMIXTURE and tagSNPs,Systematically assigns Chinese summer-maize inbreds to 10 subgroups; validates heterotic grouping procedure.,https://doi.org/10.1038/s41598-021-84732-6
10.1002/tpg2.20125,2021,Saxena Rachit K.; Jiang Yong; Khan Aamir W; Zhao Yusheng; Kumar Singh Vikas; Bohra Abhishek,Characterization of heterosis and genomic prediction‐based establishment of heterotic patterns for developing better hybrids in pigeonpea,The Plant Genome,24,3,pigeonpea,"SNPs/CNVs with heterotic effects, midparent heterosis (MPH), whole-genome resequencing diversity","genome-wide prediction, heterotic pattern establishment, heterosis-based selection",Genomic basis of heterosis; heterotic patterns defined; 78.6% hybrids show positive MPH; selection gain optimization.,https://doi.org/10.1002/tpg2.20125
10.1038/s41598-019-49861-z,2019,Wegary Dagne; Teklewold Adefris; Prasanna Boddupalli M.; Ertiro Berhanu T.; Alachiotis Nikolaos; Negera Demewez,Molecular diversity and selective sweeps in maize inbred lines adapted to African highlands,Scientific Reports,23,3,maize,"kinship coefficient, population structure (GBS), allelic redundancy","selective sweep analysis, population structure assessment",High-density molecular assessment of African highland inbreds; identifies genetic redundancy and selective sweeps in adapted germplasm.,https://doi.org/10.1038/s41598-019-49861-z
10.1002/tpg2.20282,2022,Lubanga Nelson; Massawe Festo; Mayes Sean; Gorjanc Gregor; Bančič Jon,Genomic selection strategies to increase genetic gain in tea breeding programs,The Plant Genome,22,3,tea,"selection accuracy, generation interval, genetic gain comparison",genomic selection simulation vs. phenotypic selection,Long-term simulation of GS breeding programs; demonstrates 1.65× higher gain than phenotypic selection.,https://doi.org/10.1002/tpg2.20282
10.1038/s41437-021-00485-y,2021,Lara Letícia A. de C.; Pocrnic Ivan; Oliveira Thiago de P.; Gaynor R. Chris; Gorjanc Gregor,Temporal and genomic analysis of additive genetic variance in breeding programmes,Heredity,22,3,none,"genic variance, linkage-disequilibrium variance, temporal genetic variance partitioning",marker-based temporal and genomic variance decomposition framework,Framework for partitioning genome-wide genetic variance over time by chromosome; breeding-program sustainability assessment.,https://doi.org/10.1038/s41437-021-00485-y
10.3835/plantgenome2018.10.0082,2019,Wu Po‐Ya; Tung Chih‐Wei; Lee Chieh‐Ying; Liao Chen‐Tuo,Genomic Prediction of Pumpkin Hybrid Performance,The Plant Genome,21,3,pumpkin,"additive and dominance effects, GCA, SCA, midparent/better-parent heterosis, heritability","genomic prediction (g-BLUP additive–dominance model), heterosis estimation from GCA/SCA",Systematic genomic prediction framework for hybrid performance; heterosis quantified; dominance effects modeled.,https://doi.org/10.3835/plantgenome2018.10.0082
10.1002/csc2.20130,2020,Veenstra Lynn D.; Poland Jesse; Jannink Jean‐Luc; Sorrells Mark E.,Recurrent genomic selection for wheat grain fructans,Crop Science,20,3,wheat,"genetic variance, inbreeding","OCS (optimized contribution selection), truncated selection",Empirical 2-cycle GS comparing OCS vs truncated selection; measures inbreeding and variance loss over time.,https://doi.org/10.1002/csc2.20130
10.1002/csc2.20516,2021,Bernardo Rex,"Upgrading a maize breeding program via two‐cycle genomewide selection: Same cost, same or less time, and larger gains",Crop Science,19,3,maize,,two-cycle genomic selection with realistic cost and time constraints,Simulation of genomic selection strategy achieving 112–178% gains of alternatives; cost-neutral advancement.,https://doi.org/10.1002/csc2.20516
10.2135/cropsci2018.09.0602,2019,Corak K. E.; Ellison S. L.; Simon P. W.; Spooner D. M.; Dawson J. C.,Comparison of Representative and Custom Methods of Generating Core Subsets of a Carrot Germplasm Collection,Crop Science,18,3,carrot,genetic diversity captured by representative and custom core methods,core collection algorithms (representative and custom strategies),Core-collection methods tested on 433 accessions; custom subsets optimized for breeding purposes using genomic and phenotypic data.,https://doi.org/10.2135/cropsci2018.09.0602
10.1111/pbr.12822,2020,Annor Benjamin; Badu‐Apraku Baffour; Nyadanu Daniel; Akromah Richard; Fakorede Morakinyo A. B.,Identifying heterotic groups and testers for hybrid development in early maturing yellow maize (<i>Zea mays</i>) for sub‐Saharan Africa,Plant Breeding,17,3,maize,"GCA, SCA, HSGCA method",heterotic group identification; tester efficiency for line classification,HSGCA heterotic grouping method and tester efficiency; direct support for (B) heterotic group formation.,https://doi.org/10.1111/pbr.12822
10.1534/genetics.119.302336,2019,Mulder Herman A; Lee Sang Hong; Clark Sam; Hayes Ben J; van der Werf Julius H J,The Impact of Genomic and Traditional Selection on the Contribution of Mutational Variance to Long-Term Selection Response and Genetic Variance,Genetics,17,3,none (general crop),"mutational variance, long-term selection response, genetic variance","simulation: GBLUP, BLUP, phenotypic selection ± own phenotype",20-generation simulation; compares genomic vs traditional selection on mutational variance and long-term response.,https://doi.org/10.1534/genetics.119.302336
10.3389/fpls.2024.1361894,2024,Hamazaki Kosuke; Iwata Hiroyoshi,AI-assisted selection of mating pairs through simulation-based optimized progeny allocation strategies in plant breeding,Frontiers in Plant Science,16,3,multi-crop,genetic diversity (implied in optimization objective),"AI/black-box optimization of mating-pair allocation, simulation-based progeny allocation",Simulated breeding scheme optimizes parent/pair selection for gain while maintaining diversity.,https://doi.org/10.3389/fpls.2024.1361894
10.3389/fpls.2020.568699,2021,Arca Mariangela; Mary-Huard Tristan; Gouesnard Brigitte; Bérard Aurélie; Bauland Cyril; Combes Valérie,Deciphering the Genetic Diversity of Landraces With High-Throughput SNP Genotyping of DNA Bulks: Methodology and Application to the Maize 50k Array,Frontiers in Plant Science,16,3,maize,allelic frequency estimation from DNA bulk SNP genotyping,high-throughput SNP bulk methodology for landrace diversity characterization and allele screening,Novel method to cheaply characterize and screen landraces for favorable alleles; enables efficient genebank utilization.,https://doi.org/10.3389/fpls.2020.568699
10.3389/fpls.2023.1171135,2023,"Miller MJ, Song Q, Fallen B, Li Z.",Genomic prediction of optimal cross combinations to accelerate genetic improvement of soybean (<i>Glycine max</i>).,,16,3,soybean,"family mean, genetic variance",optimal cross selection; genomic prediction,Predicts best cross combinations using mean and variance; validated on historical breeding data.,https://doi.org/10.3389/fpls.2023.1171135
10.1002/tpg2.20327,2023,Wu Po‐Ya; Stich Benjamin; Renner Juliane; Muders Katja; Prigge Vanessa; van Inghelandt Delphine,"Optimal implementation of genomic selection in clone breeding programs—Exemplified in potato: I. Effect of selection strategy, implementation stage, and selection intensity on short‐term genetic gain",The Plant Genome,14,3,potato,"genetic variance, prediction accuracy, genetic gain",genomic selection with optimized resource allocation and implementation strategy,Simulations optimize GS integration in clone breeding; genetic gain vs. selection strategy compared over multiple stages.,https://doi.org/10.1002/tpg2.20327
10.1007/s00122-023-04508-6,2023,Fritsche-Neto Roberto; Ali Jauhar; De Asis Erik Jon; Allahgholipour Mehrzad; Labroo Marlee Rose,"Improving hybrid rice breeding programs via stochastic simulations: number of parents, number of hybrids, tester update, and genomic prediction of hybrid performance",Theoretical and Applied Genetics,14,3,rice,"genetic variance depletion, heterotic pool composition","reciprocal recurrent selection (RRS), genomic prediction (GP) for hybrid performance, tester update strategy",Stochastic simulation of hybrid breeding schemes balancing genetic gain and genetic variance retention via GP and RRS design.,https://doi.org/10.1007/s00122-023-04508-6
10.1002/csc2.20033,2020,Sattler Felix T.; Haussmann Bettina I. G.,A unified strategy for West African pearl millet hybrid and heterotic group development,Crop Science,13,3,millet,"heterosis, diversity and combining ability by region",heterotic group development strategy with diversity assessment,Regional heterotic-group strategy for pearl millet hybrid breeding; diversity and combining ability guide group formation.,https://doi.org/10.1002/csc2.20033
10.1038/s41597-022-01891-5,2022,"Schulthess AW, Kale SM, Zhao Y, Gogna A, Rembe M, Philipp N, Liu F, Beukert U, Serfling A, Himmelbach A, Oppermann M, Weise S, Boeven PHG, Schacht J, Longin CFH, Kollers S, Pfeiffer N, Korzun V, Fiebi",Large-scale genotyping and phenotyping of a worldwide winter wheat genebank for its use in pre-breeding.,,13,3,wheat,"genotypic and phenotypic characterization, yield breeding values, genomic selection",pre-breeding parent selection from genebank; genomic data integrated with field validation,Large-scale genebank characterization directly enables informed selection of diverse PGR parents to enhance elite pool.,https://doi.org/10.1038/s41597-022-01891-5
10.1111/jipb.13884,2025,Xue Yingjie; Zhao Yikun; Zhang Yunlong; Wang Rui; Li Xiaohui; Liu Zhihao,Insights into the genomic divergence of maize heterotic groups in China,Journal of Integrative Plant Biology,12,3,maize,"SNP array, whole-genome resequencing, genetic distance, population structure, selective sweeps",heterotic group boundary establishment; comparative genomic divergence,Systematic heterotic group genomic divergence; selective sweep analysis; addresses (A) diversity partition and (B) group formation.,https://doi.org/10.1111/jipb.13884
10.1002/csc2.20070,2020,Moeinizade Saba; Wellner Megan; Hu Guiping; Wang Lizhi,Complementarity‐based selection strategy for genomic selection,Crop Science,12,3,multi-crop,"genetic diversity (complementarity, GEBV)","complementarity-based selection strategy (CBS), mating-pair optimization",Novel CBS method balances short-term gain vs long-term diversity through complementary-mate selection.,https://doi.org/10.1002/csc2.20070
10.1111/pbi.14022,2023,"Arca M, Gouesnard B, Mary-Huard T, Le Paslier MC, Bauland C, Combes V, Madur D, Charcosset A, Nicolas SD.",Genotyping of DNA pools identifies untapped landraces and genomic regions to develop next-generation varieties.,,12,3,maize,"modified Rogers distance standardized by gene diversity, landrace contribution indicators","pool genotyping, landrace selection, supervised ancestry assignment",Identifies landraces to enlarge genetic diversity; develops novel diversity-based selection indicators.,https://doi.org/10.1111/pbi.14022
10.1038/s41467-024-53044-4,2024,"Li D, Geng Z, Xia S, Feng H, Jiang X, Du H, Wang P, Lian Q, Zhu Y, Jia Y, Zhou Y, Wu Y, Huang C, Zhu G, Shang Y, Li H, Städler T, Yang W, Huang S, Zhang C.",Integrative multi-omics analysis reveals genetic and heterotic contributions to male fertility and yield in potato.,,12,3,potato,"heterotic effects (QTLs and mQTLs), dominance effects","QTL-level heterosis analysis, systems-genetics network",Dissects genetic basis of yield and fertility heterosis in F₂ diploid; quantifies heterotic contributions by trait class.,https://doi.org/10.1038/s41467-024-53044-4
10.1093/g3journal/jkae224,2024,Sakurai Kengo; Hamazaki Kosuke; Inamori Minoru; Kaga Akito; Iwata Hiroyoshi,Cross potential selection: a proposal for optimizing crossing combinations in recurrent selection using the usefulness criterion of future inbred lines,"G3: Genes, Genomes, Genetics",11,3,inbred crops (generic),"expected genotypic value, progeny distribution variance",cross potential selection using usefulness criterion,Optimizes crossing pairs for gain; acknowledges diversity sacrifice for speed.,https://doi.org/10.1093/g3journal/jkae224
10.1186/s12870-019-1740-z,2019,"Badu-Apraku B, Talabi AO, Fakorede MAB, Fasanmade Y, Gedil M, Magorokosho C, Asiedu R.",Yield gains and associated changes in an early yellow bi-parental maize population following genomic selection for Striga resistance and drought tolerance.,,11,3,maize,,genomic selection,"Genomic selection over four cycles for yield, Striga resistance, drought tolerance; quantifies yield gains and trait changes without explicit diversity constraint.",https://doi.org/10.1186/s12870-019-1740-z
10.3389/fpls.2023.1213675,2023,Li Zhiyong; Li Chunhui; Zhang Ruyang; Duan Minxiao; Tian Hongli; Yi Hongmei,Genomic analysis of a new heterotic maize group reveals key loci for pedigree breeding,Frontiers in Plant Science,10,3,maize,"identity-by-descent (IBD) segments, heterotic-group classification",heterotic group identification and core-line selection,New heterotic group discovery via genome-wide analysis; core lines selected; directly addresses heterotic-group structure and genetic differentiation.,https://doi.org/10.3389/fpls.2023.1213675
10.2135/cropsci2018.02.0099,2018,Kolawole Adesike O.; Menkir Abebe; Blay Essie; Ofori Kwadwo; Kling Jennifer G.,Genetic Advance in Grain Yield and Other Traits in Two Tropical Maize Composites Developed via Reciprocal Recurrent Selection,Crop Science,9,3,maize,"genetic gain, variance, heritability, genetic correlations",reciprocal recurrent selection (RRS),Realized gain and variance change across RRS cycles; explicit gain measurement.,https://doi.org/10.2135/cropsci2018.02.0099
10.3390/plants11192564,2022,"Rembe M, Zhao Y, Wendler N, Oldach K, Korzun V, Reif JC.","The Potential of Genome-Wide Prediction to Support Parental Selection, Evaluated with Data from a Commercial Barley Breeding Program.",,9,3,barley,"progeny mean, progeny variance, usefulness criterion",genomic prediction for parental selection; usefulness criterion,Tests genomic prediction of progeny variance and UC for parental selection in commercial breeding.,https://doi.org/10.3390/plants11192564
10.3389/fpls.2022.999454,2022,"Zhang J, Pan D, Fan Z, Yu H, Jiang L, Lv S, Sun B, Chen W, Mao X, Liu Q, Li C.","Genetic diversity of wild rice accessions (<i>Oryza rufipogon</i> Griff.) in Guangdong and Hainan Provinces, China, and construction of a wild rice core collection.",,9,3,rice (wild: Oryza rufipogon),"Nei's diversity index, Shannon-Wiener index, allele frequency distribution",core collection development from 998 wild rice accessions using SNP markers,Systematic wild rice core collection with quantified diversity indices; enables introgression of novel traits into cultivated rice.,https://doi.org/10.3389/fpls.2022.999454
10.1111/pbr.12866,2020,Ajala Sam O.; Olayiwola Muyideen O.; Job Anthony O.; Olaniyan Amudalat B.; Gedil Melaku,"Assessment of heterotic patterns of tropical low‐nitrogen–tolerant maize (<i>Zea mays</i>L.) inbred lines using testcross performance, morphological traits and SNP markers",Plant Breeding,8,3,maize,"SNP genetic distance, testcross performance, morphological traits","heterotic group classification by testcross, morphology, and SNP markers",Multi-method heterotic grouping comparison; testcross-based selection; directly supports (A) and (B).,https://doi.org/10.1111/pbr.12866
10.1111/pbr.12713,2019,Espanani Soheila; Majidi Mohammad Mahdi; Saeidi Ghodratollah; Alaei Hossein; Rezaei Vahid,Wide hybridization and introgression breeding in safflower: Effectiveness of different selection methods,Plant Breeding,8,3,safflower,genetic diversity expanded via interspecific hybridization,wide hybridization and introgression breeding; direct vs. indirect selection comparison,Interspecific crosses increase diversity for drought tolerance; selection methods (direct/indirect) evaluated over F3–F5 generations.,https://doi.org/10.1111/pbr.12713
10.1038/s41437-024-00703-3,2024,"Wartha CA, Lorenz AJ.",Genomic predictions of genetic variances and correlations among traits for breeding crosses in soybean.,,8,3,soybean,"family mean, genetic variance, superior progeny mean, genetic correlation",genomic prediction; cross selection,Predicts family genetic variance and correlations for optimal cross selection in breeding.,https://doi.org/10.1038/s41437-024-00703-3
10.3390/agronomy10040593,2020,Reeves Patrick A.; Tetreault Hannah M.; Richards Christopher M.,Bioinformatic Extraction of Functional Genetic Diversity from Heterogeneous Germplasm Collections for Crop Improvement,Agronomy,7,3,"multi-crop (Arabidopsis, Populus, sorghu","genomewide SNP haplotypic diversity, allelic diversity at functional loci","core-collection subset extraction: candidate-gene, keyword-search, environment-stratified approaches",Bioinformatic methods to extract maximum haplotypic diversity subsets from heterogeneous germplasm for breeding.,https://doi.org/10.3390/agronomy10040593
10.1002/csc2.20632,2021,Bernardo Rex,"Multiparental populations in line development: Genetic gain, diversity, and practical limitations",Crop Science,7,3,none (general crop),"genetic diversity (allele frequency, diversity of best lines)",simulation: multiparental vs biparental crosses with Better Half model,Directly compares genetic gain and diversity outcomes in line development simulation.,https://doi.org/10.1002/csc2.20632
10.1093/g3journal/jkad141,2023,"Choquette NE, Weldekidan T, Brewer J, Davis SB, Wisser RJ, Holland JB.",Enhancing adaptation of tropical maize to temperate environments using genomic selection.,,7,3,maize,SNP markers,genomic selection with environment-specific models,Accelerates introgression of tropical diversity into temperate germplasm via genomic selection; directly addresses (B).,https://doi.org/10.1093/g3journal/jkad141
10.1093/aob/mcab101,2021,"Hanley SJ, Pellny TK, de Vega JJ, Castiblanco V, Arango J, Eastmond PJ, Heslop-Harrison JSP, Mitchell RAC.",Allele mining in diverse accessions of tropical grasses to improve forage quality and reduce environmental impact.,,7,3,"multi-crop (tropical grasses: Urochloa, ",allelic diversity at target genes (loss-of-function alleles),allele mining in diverse genebank accessions; reverse genetics approach,Systematic mining for beneficial LOF alleles in 104 accessions directly enables selection for forage quality improvement.,https://doi.org/10.1093/aob/mcab101
10.1071/cp21376,2022,Kumar Sumit; Das Abhijit Kumar; Naliath Ritu; Kumar Ramesh; Karjagi Chikkappa G.; Sekhar Javaji C.,Potential use of random and linked SSR markers in establishing the true heterotic pattern in maize (Zea mays),Crop &amp; Pasture Science,6,3,maize,"SSR genetic diversity, linked vs. random markers, heterotic grouping",heterotic pattern assignment; comparative marker effectiveness for cross selection,SSR-based heterotic grouping; evaluates marker type impact on cross performance; directly supports (B).,https://doi.org/10.1071/cp21376
10.1002/csc2.20951,2023,Corak Keo E.; Genger Rue K.; Simon Phillip W.; Dawson Julie C.,Comparison of genotypic and phenotypic selection of breeding parents in a carrot (<i>Daucus carota</i>) germplasm collection,Crop Science,6,3,carrot,genomic prediction accuracy,genomic selection with trait prediction; comparison of genotypic vs. phenotypic parent selection,Genomic prediction strategies evaluated to identify valuable breeding material; selected parents compared in crosses for gain.,https://doi.org/10.1002/csc2.20951
10.1111/pbr.13118,2023,Platten John Damien; Fritsche‐Neto Roberto,Optimizing quantitative trait loci introgression in elite rice germplasms: Comparing methods and population sizes to develop new recipients via stochastic simulations,Plant Breeding,6,3,rice,,"QTL introgression optimization (background recovery, selective sweep, breeding value selection)",Stochastic simulation comparing introgression strategies; addresses diversity-yield tradeoff and fixation speed over breeding cycles.,https://doi.org/10.1111/pbr.13118
10.3389/fpls.2023.1164555,2023,"Machado IP, DoVale JC, Sabadin F, Fritsche-Neto R.","On the usefulness of mock genomes to define heterotic pools, testers, and hybrid predictions in orphan crops.",,6,3,multi-crop (orphan crops),"SNP-based population structure, genetic diversity indices","mock genome assembly, heterotic group definition, tester selection, genomic prediction of single crosses",Demonstrates use of SNP data and population structure for heterotic grouping and hybrid prediction without reference genome.,https://doi.org/10.3389/fpls.2023.1164555
