doi,year,authors,title,journal,citations,relevance,metric_advocated,theme,relevance_note,url
10.3390/ani11113105,2021,Pilon B; Hinterneder K; Hay E; Fragomeni B,Inbreeding Calculated with Runs of Homozygosity Suggests Chromosome-Specific Inbreeding Depression Regions in Line 1 Hereford,Animals,8,3,"ROH (runs of homozygosity), inbreeding coefficient (pedigree and genomic)",Coancestry / relationship matrix choice; Effective size,ROH for inbreeding quantification in livestock; chromosome-specific ROH effects on phenotype prediction directly relevant.,https://doi.org/10.3390/ani11113105
10.1111/jbg.12762,2023,Sarviaho K; Uimari P; Martikainen K,Estimating inbreeding rate and effective population size in the Finnish Ayrshire population in the era of genomic selection,Journal of Animal Breeding and Genetics,8,3,"ROH inbreeding, effective population size",OCS / contribution optimisation; Coancestry / relationship matrix choice; Effective size,Genomic selection impact on Ne and inbreeding using SNP-derived ROH; directly evaluates diversity loss in breeding.,https://doi.org/10.1111/jbg.12762
10.1186/s12711-023-00826-x,2023,Gautason E; Sahana G; Guldbrandtsen B; Berg P,Impact of kinship matrices on genetic gain and inbreeding with optimum contribution selection in a genomic dairy cattle breeding program,Genetics Selection Evolution,7,3,VanRaden's method 1 and 2; kinship matrix; inbreeding; genetic diversity; minor allele frequency,OCS / contribution optimisation; Coancestry / relationship matrix choice; Effective size,Compares nine kinship matrices for OCS in genomic selection; directly evaluates effects on diversity metrics and inbreeding control.,https://doi.org/10.1186/s12711-023-00826-x
10.1111/pbr.13003,2022,Michel S; Löschenberger F; Moreno‐Amores J; Ametz C; Sparry E; Abel E,Balancing selection gain and genetic diversity in the genomic planning of crosses,Plant Breeding,7,3,desired gain index; genetic diversity balance,OCS / contribution optimisation,Directly compares mate selection indices for gain vs diversity trade-off; addresses index weighting for genomic cross planning.,https://doi.org/10.1111/pbr.13003
10.1186/s12711-024-00899-2,2024,"Niehoff TAM, Ten Napel J, Bijma P, Pook T, Wientjes YCJ, Hegedűs B, Calus MPL.",Improving selection decisions with mating information by accounting for Mendelian sampling variances looking two generations ahead.,,7,3,"gametic Mendelian sampling variance, heterozygosity, linkage",OCS / contribution optimisation; Coancestry / relationship matrix choice; Heterozygosity / gene diversity,"Directly addresses optimal mate selection accounting for diversity constraints (gametic variance, heterozygosity) to control genetic gain trade-offs in breeding.",https://doi.org/10.1186/s12711-024-00899-2
10.1186/s12864-024-10842-w,2024,"Mota LFM, Carvajal AB, Silva Neto JB, Díaz C, Carabaño MJ, Baldi F, Munari DP.",Assessment of inbreeding coefficients and inbreeding depression on complex traits from genomic and pedigree data in Nelore cattle.,,7,3,"F_ROH (runs of homozygosity), F_GRM (genomic relationship matrix), F_SNP (excess homozygosity)",Coancestry / relationship matrix choice,"Compares inbreeding coefficient estimation methods (pedigree, genomic, ROH, SNP) for precision in capturing inbreeding level and diversity impact.",https://doi.org/10.1186/s12864-024-10842-w
10.1093/g3journal/jkad195,2023,"Danguy des Déserts A, Durand N, Servin B, Goudemand-Dugué E, Alliot JM, Ruiz D, Charmet G, Elsen JM, Bouchet S.",Comparison of genomic-enabled cross selection criteria for the improvement of inbred line breeding populations.,,7,3,"Progeny variance, cross selection criteria (CSC), genetic complementarity, kinship constraints",OCS / contribution optimisation; Coancestry / relationship matrix choice; Effective size,Compares seven genomic cross-selection criteria balancing progeny performance and genetic diversity; applies parental contribution and kinship constraints in simulated optimization.,https://doi.org/10.1093/g3journal/jkad195
10.3390/ani11082356,2021,"Kasap A, Ramljak J, Špehar M.",Estimation of Population-Specific Genetic Parameters Important for Long-Term Optimum Contribution Selection-Case Study on a Dairy Istrian Sheep Breed.,,6,3,"effective population size, coancestry, connectedness",OCS / contribution optimisation; Coancestry / relationship matrix choice; Effective size,Directly applies optimal contribution selection to dairy sheep; estimates Ne and coancestry for long-term breed sustainability.,https://doi.org/10.3390/ani11082356
10.1007/s00122-023-04509-5,2024,"Sanchez D, Allier A, Ben Sadoun S, Mary-Huard T, Bauland C, Palaffre C, Lagardère B, Madur D, Combes V, Melkior S, Bettinger L, Murigneux A, Moreau L, Charcosset A.",Assessing the potential of genetic resource introduction into elite germplasm: a collaborative multiparental population for flint maize.,,6,3,"Usefulness criterion (UC), donor-elite complementarity, hybrid value, pre-breeding population",OCS / contribution optimisation; Core collection / subset selection,Maize pre-breeding bridging population evaluating donor × elite crosses for diversity enrichment; usefulness criterion measures transgressive selection potential.,https://doi.org/10.1007/s00122-023-04509-5
10.1093/jhered/esad027,2023,"Kinghorn B, Kinghorn A.",Management of diversity and inbreeding when importing new stock into an inbred population.,,5,3,optimal contribution selection; coancestry; mean progeny inbreeding; coancestry assortative mating,OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,Directly applies OCS and coancestry-based mating to manage diversity and inbreeding in constrained breeding; exemplifies computational approach for diversity objectives.,https://doi.org/10.1093/jhered/esad027
10.1002/tpg2.20533,2025,"Peixoto MA, Amadeu RR, Bhering LL, Ferrão LFV, Munoz PR, Resende MFR.",SimpleMating: R-package for prediction and optimization of breeding crosses using genomic selection.,,5,3,inbreeding; kinship; cross prediction; multi-trait optimisation,OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,R package for mate allocation optimizing genetic gain and minimizing inbreeding; practical tool for diversity-constrained cross selection in breeding programs.,https://doi.org/10.1002/tpg2.20533
10.1111/jbg.12455,2019,Toro M; Villanueva B; Fernández J,The concept of effective population size loses its meaning in the context of optimal management of diversity using molecular markers,Journal of Animal Breeding and Genetics,4,3,molecular coancestry,OCS / contribution optimisation; Coancestry / relationship matrix choice; Effective size,Optimal contribution selection with molecular markers; argues Ne loses meaning under optimal diversity management—core to OCS question.,https://doi.org/10.1111/jbg.12455
10.1007/s00122-025-05028-1,2025,"Yadav S, Dillon S, McNeil M, Dinglasan E, Mago R, Dodds P, Hickey L, Hayes BJ.",Optimising parent selection in plant breeding: comparing metaheuristic algorithms for genotype building.,,4,3,"optimal haplotype selection (OHS), optimal population value (OPV), GEBV, haplotype diversity",OCS / contribution optimisation; Allelic richness / rare alleles; Optimisation algorithms / cost,"Directly compares DE, GA, PSO, SA for parent selection under genotype-building objectives; evaluates OHS vs OPV on diversity retention and computational speed.",https://doi.org/10.1007/s00122-025-05028-1
10.1111/mec.17719,2025,"Godoy JA, Bazzicalupo E, Casas-Marce M, Cruz F, Fernández J, Hasselgren M, Kleinman-Ruiz D, Lorenzo-Fernández L, Lucena-Perez M, Marmesat E, Martínez-Cruz B, Mayor-Fidalgo L, Pérez-Sorribes L, Soriano","Genomic Insights Into the Origin, Decline and Recovery of the Once Critically Endangered Iberian Lynx.",,4,3,"inbreeding coefficient, kinship, He, genomic relationship matrix",OCS / contribution optimisation; Coancestry / relationship matrix choice; Effective size,Genetic monitoring and genome-informed breeding to manage inbreeding; directly applicable to OCS.,https://doi.org/10.1111/mec.17719
10.1093/g3journal/jkae128,2024,"Peixoto MA, Coelho IF, Leach KA, Lübberstedt T, Bhering LL, Resende MFR.",Use of simulation to optimize a sweet corn breeding program: implementing genomic selection and doubled haploid technology.,,4,3,"genetic variance, parental genetic mean, genetic gain, parental substitution ratio",OCS / contribution optimisation; Optimisation algorithms / cost,Breeding program simulation optimising genomic selection and doubled haploids; directly evaluates diversity-gain trade-offs and parental strategy costs.,https://doi.org/10.1093/g3journal/jkae128
10.1038/s42003-025-08715-3,2025,"Zhong Y, Feng L, Deng H, Ji X, Zhang J, Sun Y, Lin P, Qiao Y, Xie S, Wang H, Guo L, Feng X.","Genomic resequencing reveals genetic diversity, population structure, and core collection of durian germplasm.",,4,3,"SNP diversity, core collection, population structure",Allelic richness / rare alleles; Core collection / subset selection,Core collection design from germplasm diversity; directly addresses subset selection and diversity quantification in breeding.,https://doi.org/10.1038/s42003-025-08715-3
10.1002/tpg2.70000,2025,Wu P; Stich B; Hartje S; Muders K; Prigge V; Van Inghelandt D,Optimal implementation of genomic selection in clone breeding programs exemplified in potato: II. Effect of selection strategy and cross‐selection method on long‐term genetic gain,The Plant Genome,3,3,genome-wide diversity; genomic relationship matrix; genetic variability; additive and dominance effects,OCS / contribution optimisation; Coancestry / relationship matrix choice; Allelic richness / rare alleles,Cross-selection methods in autotetraploid breeding; evaluates genetic variability and efficiency of converting diversity into gain with genomic selection.,https://doi.org/10.1002/tpg2.70000
10.1093/genetics/iyac069,2022,Amini F; Hu G; Wang L; Wu R,The L-shaped selection algorithm for multitrait genomic selection,Genetics,3,3,"genetic gain, genetic diversity",OCS / contribution optimisation; Optimisation algorithms / cost,L-shaped Pareto selection for multitrait genomic selection; addresses diversity preservation and computational efficiency in optimisation.,https://doi.org/10.1093/genetics/iyac069
10.1111/jbg.12930,2025,Musa A; Reinsch N,A Similarity Matrix for Preserving Haplotype Diversity Amongst Parents in Genomic Selection,Journal of Animal Breeding and Genetics,3,3,"haplotype similarity matrix, haplotype diversity, additive genetic effects, Mendelian sampling variance",OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,Directly addresses haplotype-based diversity preservation in parent selection under genomic selection; novel similarity matrix for balancing gain and diversity in selection algorithms.,https://doi.org/10.1111/jbg.12930
10.1038/s41598-021-84566-2,2021,"Galeano E, Bousquet J, Thomas BR.","SNP-based analysis reveals unexpected features of genetic diversity, parental contributions and pollen contamination in a white spruce breeding program.",,3,3,"Shannon Index, effective population size, coancestry, inbreeding coefficient",OCS / contribution optimisation; Coancestry / relationship matrix choice; Effective size,"Directly monitors diversity metrics (Shannon, Ne, coancestry) in breeding program under selection; assesses impact of roguing on diversity trade-offs.",https://doi.org/10.1038/s41598-021-84566-2
10.3389/fgene.2023.1303748,2023,"Ojeda-Marín C, Cervantes I, Formoso-Rafferty N, Gutiérrez JP.",Genomic inbreeding measures applied to a population of mice divergently selected for birth weight environmental variance.,,3,3,"runs of homozygosity, genomic inbreeding (multiple methods), effective population size, relationship matrices",OCS / contribution optimisation; Coancestry / relationship matrix choice; Effective size,"Compares inbreeding metrics (ROH, F_NEJ, F_L&H, Van Raden, Yang) and Ne estimation from genomic data; evaluates metric robustness under selection.",https://doi.org/10.3389/fgene.2023.1303748
10.1038/s41437-024-00697-y,2024,Ahadi P; Balasundaram B; Borrero J; Chen C,Development and optimization of expected cross value for mate selection problems,Heredity,2,3,"expected cross value, inbreeding control",OCS / contribution optimisation; Optimisation algorithms / cost,ECV criterion for mate selection; genomic multi-trait optimisation with inbreeding constraint; directly relevant to hybrid optimisation problem.,https://doi.org/10.1038/s41437-024-00697-y
10.1002/csc2.70197,2025,Guimarães P; Sousa M; Jannink J; Campos M; Oliveira E,Designing superior crosses in cassava using genomic mating to boost yield and genetic diversity,Crop Science,2,3,"optimum contribution selection; additive, dominance, directional dominance models",OCS / contribution optimisation,Directly combines genomic mating with OCS in cassava; explicitly addresses diversity-gain trade-off and inbreeding control in cross design.,https://doi.org/10.1002/csc2.70197
10.1111/eva.70085,2025,"González-Castellano I, Ordás P, Caballero A.",Estimation of Inbreeding Depression From Overdominant Loci Using Molecular Markers.,,2,3,"F (inbreeding coefficient), ROH, marker homozygosity",OCS / contribution optimisation; Coancestry / relationship matrix choice,Evaluates accuracy of different F measures (ROH vs individual-marker) for estimating inbreeding depression; relevant to metric choice for diversity loss.,https://doi.org/10.1111/eva.70085
10.1126/sciadv.adm7980,2025,"Pan T, Miao J, Sun K, Nie H, Luscombe NM, Li W, Zhang S, Yang L, Wang H, Zhou Y, Tu G, Shu Y, Zhang B, Wu X.",Genomic insights and the conservation potential of captive breeding: The case of Chinese alligator.,,2,3,"SNP-based kinship, inbreeding coefficient, He, ROH",OCS / contribution optimisation; Coancestry / relationship matrix choice,Genome-informed breeding program minimizing inbreeding via kinship analysis; directly relevant to OCS.,https://doi.org/10.1126/sciadv.adm7980
10.1093/jxb/erag073,2026,"Yadav S, Dillon S, McNeil M, Dinglasan E, Jambuthenne D, Mago R, Dodds PN, Hickey LT, Hayes BJ.",Advancing rust resistance in elite wheat with haplotype mapping and a novel introgression strategy.,,2,3,"haplotype effect variance, introgression fitness index, genetic algorithm selection",Optimisation algorithms / cost,Directly addresses selection of haplotypes to optimize resistance while maintaining elite background; genetic algorithm for parent selection under constraints.,https://doi.org/10.1093/jxb/erag073
10.1093/bioadv/vbaf259,2024,Waldmann P,Genomic optimum contribution selection and mate allocation using JuMP,Bioinformatics Advances,1,3,genomic coancestry matrix; inbreeding rate,OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,Two-stage genomic OCS and mate allocation in JuMP/Julia; directly addresses balancing gain with coancestry constraints using genomic relationship matrices.,https://doi.org/10.1093/bioadv/vbaf259
10.1093/genetics/iyag013,2026,Fernández-González J; Metwally S; Isidro y Sánchez J,MateR: a novel genomic mating framework,GENETICS,1,3,additive standard deviation loss; family mean and variance under dominance,OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,Develops diversity metric quantifying additive-variation loss; integrates gain and diversity into mating optimization; directly addresses core question.,https://doi.org/10.1093/genetics/iyag013
10.1186/s12711-026-01034-z,2026,"Pook T, Hassanpour A, Niehoff TAM, Calus MPL.",Strategies to improve on selection based on estimated breeding values.,,1,3,average kinship; inbreeding; SNP effect weighting,OCS / contribution optimisation; Coancestry / relationship matrix choice,"Compares selection strategies (EBV, kinship weighting, multi-objective) for long-term gain and diversity; directly addresses diversity constraints in genomic selection.",https://doi.org/10.1186/s12711-026-01034-z
10.1101/2023.02.20.529187,2023,"Pocrnic I, Obšteter J, Gaynor RC, Wolc A, Gorjanc G.",Assessment of long-term trends in genetic mean and variance after the introduction of genomic selection in layers: a simulation study,,1,3,"genic variance, effective population size, inbreeding, optimal contribution selection",OCS / contribution optimisation; Coancestry / relationship matrix choice; Effective size,Directly compares OCS to inbreeding minimisation in genomic selection; evaluates long-term diversity-gain trade-offs and Ne.,https://doi.org/10.1101/2023.02.20.529187
10.1093/jas/skae329,2024,"Arias KD, Fernández I, Gutiérrez JP, Bozzi R, Álvarez I, Goyache F.",Characterizing local pig breeds as reservoirs for the domestic pig genetic variability worldwide via contributions to gene diversity and allelic richness.,,1,3,"gene diversity, allelic richness, effective population size, coancestry",OCS / contribution optimisation; Coancestry / relationship matrix choice; Allelic richness / rare alleles,Directly evaluates gene diversity and allelic richness as metrics for identifying diversity reservoirs in pig populations.,https://doi.org/10.1093/jas/skae329
10.1371/journal.pcbi.1010290,2023,"Tchounke B, Sanchez L, Bell JM, Cros D.",Mate selection: A useful approach to maximize genetic gain and control inbreeding in genomic and conventional oil palm (Elaeis guineensis Jacq.) hybrid breeding.,,1,3,"inbreeding, coancestry, genomic selection",OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,Mate selection optimisation algorithm (simulated annealing) minimising inbreeding while maximising gain; directly relevant to constrained combinatorial optimisation in breeding.,https://doi.org/10.1371/journal.pcbi.1010290
10.1093/g3journal/jkag044,2026,"Technow F, Podlich D, Cooper M.",Back to the future 2: the implications of germplasm structure on the balance between short- and long-term genetic gain in a changing target population of environments.,,1,3,"genetic variability, germplasm structure, distributed breeding",OCS / contribution optimisation; Core collection / subset selection,Directly addresses balance between short-term gain and long-term diversity in breeding under environmental change; programme design implications.,https://doi.org/10.1093/g3journal/jkag044
10.1093/g3journal/jkaf100,2025,"Pook T, Tost ML, Simianer H.",Optimization of recurrent rapid cycle breeding in maize for sustained long-term genetic improvement via stochastic simulations.,,1,3,"genetic diversity, relatedness, genomic selection",OCS / contribution optimisation; Optimisation algorithms / cost,Stochastic simulations of rapid cycle breeding balancing gain vs. diversity; addresses long-term diversity management and selection scheme optimization directly.,https://doi.org/10.1093/g3journal/jkaf100
10.3390/plants13111577,2024,"Zhao H, Khansefid M, Lin Z, Hayden MJ.",Genetic Gain and Inbreeding in Different Simulated Genomic Selection Schemes for Grain Yield and Oil Content in Safflower.,,1,3,"inbreeding coefficient, mating relationship control",OCS / contribution optimisation,Genomic selection with inbreeding control vs. genetic gain trade-off; directly addresses cheap diversity metrics in breeding.,https://doi.org/10.3390/plants13111577
10.1093/bioinformatics/btaf586,2025,"Hamazaki K, Iwata H, Tsuda K.",DiffBreed: automatic differentiation enables efficient gradient-based optimization of breeding strategies.,,1,3,genetic gain; progeny allocation strategy,OCS / contribution optimisation; Optimisation algorithms / cost,Differentiable breeding simulator enabling gradient-based optimization of allocation; directly addresses computational efficiency for breeding strategy optimization.,https://doi.org/10.1093/bioinformatics/btaf586
10.1111/1755-0998.13781,2023,Morales‐González E; Villanueva B; Toro M; Fernández J,Maintenance of genetic diversity in subdivided populations using genomic coancestry matrices,Molecular Ecology Resources,0,3,genomic coancestry matrix (deviation-based and GRM); expected heterozygosity; allelic diversity,OCS / contribution optimisation; Coancestry / relationship matrix choice; Allelic richness / rare alleles,Compares genomic coancestry matrices for subdivided populations; evaluates expected heterozygosity and allelic diversity as diversity metrics.,https://doi.org/10.1111/1755-0998.13781
